Term of Loan in Years|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50
05/29/2023|7.98|6.76|6.33|6.33|6.07|6.07|6.24|6.24|6.13|6.13|6.13|6.13|6.18|6.18|6.18|6.18|6.18|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66
06/05/2023|8.04|6.88|6.38|6.38|6.11|6.11|6.17|6.17|6.12|6.12|6.12|6.12|6.33|6.33|6.33|6.33|6.33|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74
06/12/2023|8.08|7|6.49|6.49|6.15|6.15|6.21|6.21|6.22|6.22|6.22|6.22|6.19|6.19|6.19|6.19|6.19|6.61|6.61|6.61|6.61|6.61|6.61|6.61|6.61|6.7|6.7|6.7|6.7|6.7|6.7|6.7|6.7|6.7|6.7|6.7|6.7|6.7|6.7|6.7|6.7|6.7|6.7|6.7|6.7|6.7|6.7|6.7|6.7|6.7
06/19/2023|8.12|7.12|6.59|6.59|6.2|6.2|6.07|6.07|6.41|6.41|6.41|6.41|6.2|6.2|6.2|6.2|6.2|6.49|6.49|6.49|6.49|6.49|6.49|6.49|6.49|6.68|6.68|6.68|6.68|6.68|6.68|6.68|6.68|6.68|6.68|6.68|6.68|6.68|6.68|6.68|6.68|6.68|6.68|6.68|6.68|6.68|6.68|6.68|6.68|6.68
06/26/2023|8.05|7.07|6.53|6.53|6.21|6.21|6.42|6.42|6.48|6.48|6.48|6.48|6.21|6.21|6.21|6.21|6.21|6.49|6.49|6.49|6.49|6.49|6.49|6.49|6.49|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63
07/03/2023|8.2|7.13|6.61|6.61|6.29|6.29|6.35|6.35|6.48|6.48|6.48|6.48|6.22|6.22|6.22|6.22|6.22|6.56|6.56|6.56|6.56|6.56|6.56|6.56|6.56|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67
07/10/2023|8.02|7.11|6.59|6.59|6.37|6.37|6.35|6.35|6.56|6.56|6.56|6.56|6.49|6.49|6.49|6.49|6.49|6.7|6.7|6.7|6.7|6.7|6.7|6.7|6.7|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86
07/17/2023|8.3|7.18|6.64|6.64|6.42|6.42|6.41|6.41|6.58|6.58|6.58|6.58|6.44|6.44|6.44|6.44|6.44|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91
07/24/2023|8.17|7.18|6.63|6.63|6.39|6.39|6.47|6.47|6.6|6.6|6.6|6.6|6.22|6.22|6.22|6.22|6.22|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.72|6.72|6.72|6.72|6.72|6.72|6.72|6.72|6.72|6.72|6.72|6.72|6.72|6.72|6.72|6.72|6.72|6.72|6.72|6.72|6.72|6.72|6.72|6.72|6.72
07/31/2023|8.16|7.2|6.72|6.72|6.44|6.44|6.38|6.38|6.73|6.73|6.73|6.73|6.35|6.35|6.35|6.35|6.35|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82
08/07/2023|8.15|7.26|6.76|6.76|6.44|6.44|6.59|6.59|6.63|6.63|6.63|6.63|6.46|6.46|6.46|6.46|6.46|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91|6.91
08/14/2023|7.78|7.05|6.63|6.63|6.47|6.47|6.59|6.59|6.79|6.79|6.79|6.79|6.46|6.46|6.46|6.46|6.46|6.85|6.85|6.85|6.85|6.85|6.85|6.85|6.85|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96
08/21/2023|8.14|7.25|6.78|6.78|6.48|6.48|6.79|6.79|6.73|6.73|6.73|6.73|6.61|6.61|6.61|6.61|6.61|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15
08/28/2023|8.08|7.24|6.8|6.8|6.58|6.58|6.8|6.8|6.86|6.86|6.86|6.86|6.78|6.78|6.78|6.78|6.78|7.07|7.07|7.07|7.07|7.07|7.07|7.07|7.07|7.26|7.26|7.26|7.26|7.26|7.26|7.26|7.26|7.26|7.26|7.26|7.26|7.26|7.26|7.26|7.26|7.26|7.26|7.26|7.26|7.26|7.26|7.26|7.26|7.26
09/04/2023|8.25|7.29|6.81|6.81|6.66|6.66|6.96|6.96|7.05|7.05|7.05|7.05|6.74|6.74|6.74|6.74|6.74|7.06|7.06|7.06|7.06|7.06|7.06|7.06|7.06|7.12|7.12|7.12|7.12|7.12|7.12|7.12|7.12|7.12|7.12|7.12|7.12|7.12|7.12|7.12|7.12|7.12|7.12|7.12|7.12|7.12|7.12|7.12|7.12|7.12
09/11/2023|8.18|7.26|6.81|6.81|6.69|6.69|6.66|6.66|7.11|7.11|7.11|7.11|6.79|6.79|6.79|6.79|6.79|6.92|6.92|6.92|6.92|6.92|6.92|6.92|6.92|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15|7.15
09/18/2023|8.17|7.41|6.98|6.98|6.78|6.78|6.91|6.91|7.16|7.16|7.16|7.16|6.73|6.73|6.73|6.73|6.73|7.05|7.05|7.05|7.05|7.05|7.05|7.05|7.05|7.18|7.18|7.18|7.18|7.18|7.18|7.18|7.18|7.18|7.18|7.18|7.18|7.18|7.18|7.18|7.18|7.18|7.18|7.18|7.18|7.18|7.18|7.18|7.18|7.18
09/25/2023|7.82|7.31|6.96|6.96|6.8|6.8|6.87|6.87|7.1|7.1|7.1|7.1|6.8|6.8|6.8|6.8|6.8|7.05|7.05|7.05|7.05|7.05|7.05|7.05|7.05|7.21|7.21|7.21|7.21|7.21|7.21|7.21|7.21|7.21|7.21|7.21|7.21|7.21|7.21|7.21|7.21|7.21|7.21|7.21|7.21|7.21|7.21|7.21|7.21|7.21
10/02/2023|8.44|7.41|6.96|6.96|6.92|6.92|6.9|6.9|7.04|7.04|7.04|7.04|6.88|6.88|6.88|6.88|6.88|7.1|7.1|7.1|7.1|7.1|7.1|7.1|7.1|7.4|7.4|7.4|7.4|7.4|7.4|7.4|7.4|7.4|7.4|7.4|7.4|7.4|7.4|7.4|7.4|7.4|7.4|7.4|7.4|7.4|7.4|7.4|7.4|7.4
10/09/2023|8.34|7.41|7|7|6.86|6.86|7.11|7.11|7.07|7.07|7.07|7.07|7.03|7.03|7.03|7.03|7.03|7.4|7.4|7.4|7.4|7.4|7.4|7.4|7.4|7.58|7.58|7.58|7.58|7.58|7.58|7.58|7.58|7.58|7.58|7.58|7.58|7.58|7.58|7.58|7.58|7.58|7.58|7.58|7.58|7.58|7.58|7.58|7.58|7.58
10/16/2023|7.75|7.21|6.92|6.92|6.88|6.88|7.14|7.14|7.19|7.19|7.19|7.19|6.96|6.96|6.96|6.96|6.96|7.44|7.44|7.44|7.44|7.44|7.44|7.44|7.44|7.57|7.57|7.57|7.57|7.57|7.57|7.57|7.57|7.57|7.57|7.57|7.57|7.57|7.57|7.57|7.57|7.57|7.57|7.57|7.57|7.57|7.57|7.57|7.57|7.57
10/23/2023|7.55|7.13|6.9|6.9|7.04|7.04|7.06|7.06|7.22|7.22|7.22|7.22|7.24|7.24|7.24|7.24|7.24|7.45|7.45|7.45|7.45|7.45|7.45|7.45|7.45|7.72|7.72|7.72|7.72|7.72|7.72|7.72|7.72|7.72|7.72|7.72|7.72|7.72|7.72|7.72|7.72|7.72|7.72|7.72|7.72|7.72|7.72|7.72|7.72|7.72
10/30/2023|8.16|7.38|7.11|7.11|7.1|7.1|7.24|7.24|7.29|7.29|7.29|7.29|7.26|7.26|7.26|7.26|7.26|7.64|7.64|7.64|7.64|7.64|7.64|7.64|7.64|7.84|7.84|7.84|7.84|7.84|7.84|7.84|7.84|7.84|7.84|7.84|7.84|7.84|7.84|7.84|7.84|7.84|7.84|7.84|7.84|7.84|7.84|7.84|7.84|7.84
11/06/2023|7.66|7.16|6.94|6.94|7.25|7.25|7.06|7.06|7.37|7.37|7.37|7.37|7.29|7.29|7.29|7.29|7.29|7.67|7.67|7.67|7.67|7.67|7.67|7.67|7.67|7.77|7.77|7.77|7.77|7.77|7.77|7.77|7.77|7.77|7.77|7.77|7.77|7.77|7.77|7.77|7.77|7.77|7.77|7.77|7.77|7.77|7.77|7.77|7.77|7.77
11/13/2023|7.93|7.43|7.15|7.15|7.23|7.23|6.63|6.63|7.19|7.19|7.19|7.19|6.96|6.96|6.96|6.96|6.96|7.39|7.39|7.39|7.39|7.39|7.39|7.39|7.39|7.49|7.49|7.49|7.49|7.49|7.49|7.49|7.49|7.49|7.49|7.49|7.49|7.49|7.49|7.49|7.49|7.49|7.49|7.49|7.49|7.49|7.49|7.49|7.49|7.49
11/20/2023|8.33|7.64|7.31|7.31|7.18|7.18|6.8|6.8|7.02|7.02|7.02|7.02|6.89|6.89|6.89|6.89|6.89|7.22|7.22|7.22|7.22|7.22|7.22|7.22|7.22|7.42|7.42|7.42|7.42|7.42|7.42|7.42|7.42|7.42|7.42|7.42|7.42|7.42|7.42|7.42|7.42|7.42|7.42|7.42|7.42|7.42|7.42|7.42|7.42|7.42
11/27/2023|8.37|7.66|7.27|7.27|7.15|7.15|6.76|6.76|7.04|7.04|7.04|7.04|6.9|6.9|6.9|6.9|6.9|7.04|7.04|7.04|7.04|7.04|7.04|7.04|7.04|7.29|7.29|7.29|7.29|7.29|7.29|7.29|7.29|7.29|7.29|7.29|7.29|7.29|7.29|7.29|7.29|7.29|7.29|7.29|7.29|7.29|7.29|7.29|7.29|7.29
12/04/2023|8.03|7.44|7.15|7.15|7.12|7.12|6.64|6.64|7.05|7.05|7.05|7.05|6.77|6.77|6.77|6.77|6.77|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|7.23|7.23|7.23|7.23|7.23|7.23|7.23|7.23|7.23|7.23|7.23|7.23|7.23|7.23|7.23|7.23|7.23|7.23|7.23|7.23|7.23|7.23|7.23|7.23|7.23
12/11/2023|8.07|7.48|7.19|7.19|6.97|6.97|6.36|6.36|7.04|7.04|7.04|7.04|6.5|6.5|6.5|6.5|6.5|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|7.01|7.01|7.01|7.01|7.01|7.01|7.01|7.01|7.01|7.01|7.01|7.01|7.01|7.01|7.01|7.01|7.01|7.01|7.01|7.01|7.01|7.01|7.01|7.01|7.01
12/18/2023|8.22|7.64|7.3|7.3|6.89|6.89|6.29|6.29|6.98|6.98|6.98|6.98|6.56|6.56|6.56|6.56|6.56|6.73|6.73|6.73|6.73|6.73|6.73|6.73|6.73|6.98|6.98|6.98|6.98|6.98|6.98|6.98|6.98|6.98|6.98|6.98|6.98|6.98|6.98|6.98|6.98|6.98|6.98|6.98|6.98|6.98|6.98|6.98|6.98|6.98
12/25/2023|7.93|7.28|6.96|6.96|6.65|6.65|6.13|6.13|6.75|6.75|6.75|6.75|6.06|6.06|6.06|6.06|6.06|6.6|6.6|6.6|6.6|6.6|6.6|6.6|6.6|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67
01/01/2024|7.65|6.99|6.73|6.73|6.58|6.58|6.25|6.25|6.69|6.69|6.69|6.69|6.15|6.15|6.15|6.15|6.15|6.44|6.44|6.44|6.44|6.44|6.44|6.44|6.44|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55
01/08/2024|7.38|6.8|6.51|6.51|6.46|6.46|6.38|6.38|6.7|6.7|6.7|6.7|6.04|6.04|6.04|6.04|6.04|6.45|6.45|6.45|6.45|6.45|6.45|6.45|6.45|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66
01/15/2024|7.43|6.84|6.53|6.53|6.45|6.45|6.13|6.13|6.33|6.33|6.33|6.33|6.04|6.04|6.04|6.04|6.04|6.48|6.48|6.48|6.48|6.48|6.48|6.48|6.48|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65
01/22/2024|7.29|6.68|6.42|6.42|6.46|6.46|6.3|6.3|6.67|6.67|6.67|6.67|6.03|6.03|6.03|6.03|6.03|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59
01/29/2024|7.51|6.87|6.63|6.63|6.65|6.65|6.31|6.31|6.6|6.6|6.6|6.6|6.18|6.18|6.18|6.18|6.18|6.5|6.5|6.5|6.5|6.5|6.5|6.5|6.5|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65|6.65
02/05/2024|7.41|6.8|6.54|6.54|6.69|6.69|6.25|6.25|6.57|6.57|6.57|6.57|6.02|6.02|6.02|6.02|6.02|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55|6.55
02/12/2024|7.44|6.84|6.55|6.55|6.51|6.51|6.24|6.24|6.58|6.58|6.58|6.58|6.18|6.18|6.18|6.18|6.18|6.37|6.37|6.37|6.37|6.37|6.37|6.37|6.37|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66|6.66
02/19/2024|7.42|6.91|6.66|6.66|6.43|6.43|6.39|6.39|6.56|6.56|6.56|6.56|6.32|6.32|6.32|6.32|6.32|6.6|6.6|6.6|6.6|6.6|6.6|6.6|6.6|6.77|6.77|6.77|6.77|6.77|6.77|6.77|6.77|6.77|6.77|6.77|6.77|6.77|6.77|6.77|6.77|6.77|6.77|6.77|6.77|6.77|6.77|6.77|6.77|6.77
02/26/2024|7.47|6.98|6.72|6.72|6.41|6.41|6.41|6.41|6.45|6.45|6.45|6.45|6.35|6.35|6.35|6.35|6.35|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.67|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9
03/04/2024|7.37|6.9|6.66|6.66|6.44|6.44|6.5|6.5|6.58|6.58|6.58|6.58|6.52|6.52|6.52|6.52|6.52|6.64|6.64|6.64|6.64|6.64|6.64|6.64|6.64|6.92|6.92|6.92|6.92|6.92|6.92|6.92|6.92|6.92|6.92|6.92|6.92|6.92|6.92|6.92|6.92|6.92|6.92|6.92|6.92|6.92|6.92|6.92|6.92|6.92
03/11/2024|7.51|6.95|6.66|6.66|6.47|6.47|6.5|6.5|6.63|6.63|6.63|6.63|6.37|6.37|6.37|6.37|6.37|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82|6.82
03/18/2024|7.63|7.02|6.7|6.7|6.48|6.48|6.44|6.44|6.49|6.49|6.49|6.49|6.21|6.21|6.21|6.21|6.21|6.44|6.44|6.44|6.44|6.44|6.44|6.44|6.44|6.71|6.71|6.71|6.71|6.71|6.71|6.71|6.71|6.71|6.71|6.71|6.71|6.71|6.71|6.71|6.71|6.71|6.71|6.71|6.71|6.71|6.71|6.71|6.71|6.71
03/25/2024|7.64|7.05|6.78|6.78|6.47|6.47|6.38|6.38|6.52|6.52|6.52|6.52|6.39|6.39|6.39|6.39|6.39|6.47|6.47|6.47|6.47|6.47|6.47|6.47|6.47|6.88|6.88|6.88|6.88|6.88|6.88|6.88|6.88|6.88|6.88|6.88|6.88|6.88|6.88|6.88|6.88|6.88|6.88|6.88|6.88|6.88|6.88|6.88|6.88|6.88
04/01/2024|7.91|7.17|6.9|6.9|6.48|6.48|6.26|6.26|6.43|6.43|6.43|6.43|6.29|6.29|6.29|6.29|6.29|6.5|6.5|6.5|6.5|6.5|6.5|6.5|6.5|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76
04/08/2024|8.03|7.27|6.92|6.92|6.42|6.42|6.49|6.49|6.35|6.35|6.35|6.35|6.29|6.29|6.29|6.29|6.29|6.5|6.5|6.5|6.5|6.5|6.5|6.5|6.5|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86
04/15/2024|8.28|7.56|7.2|7.2|6.45|6.45|6.5|6.5|6.34|6.34|6.34|6.34|6.35|6.35|6.35|6.35|6.35|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95
04/22/2024|7.7|7.12|6.85|6.85|6.52|6.52|6.9|6.9|6.44|6.44|6.44|6.44|6.66|6.66|6.66|6.66|6.66|6.83|6.83|6.83|6.83|6.83|6.83|6.83|6.83|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19
04/29/2024|7.23|6.85|6.68|6.68|6.63|6.63|6.89|6.89|6.45|6.45|6.45|6.45|6.68|6.68|6.68|6.68|6.68|6.99|6.99|6.99|6.99|6.99|6.99|6.99|6.99|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19|7.19
05/06/2024|7.45|7.11|6.9|6.9|6.74|6.74|6.64|6.64|6.55|6.55|6.55|6.55|6.63|6.63|6.63|6.63|6.63|7|7|7|7|7|7|7|7|7.22|7.22|7.22|7.22|7.22|7.22|7.22|7.22|7.22|7.22|7.22|7.22|7.22|7.22|7.22|7.22|7.22|7.22|7.22|7.22|7.22|7.22|7.22|7.22|7.22
05/13/2024|7.56|7.15|6.9|6.9|6.78|6.78|6.76|6.76|6.65|6.65|6.65|6.65|6.47|6.47|6.47|6.47|6.47|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|7.05|7.05|7.05|7.05|7.05|7.05|7.05|7.05|7.05|7.05|7.05|7.05|7.05|7.05|7.05|7.05|7.05|7.05|7.05|7.05|7.05|7.05|7.05|7.05|7.05
05/20/2024|7.6|7.13|6.88|6.88|6.76|6.76|6.75|6.75|6.66|6.66|6.66|6.66|6.4|6.4|6.4|6.4|6.4|6.6|6.6|6.6|6.6|6.6|6.6|6.6|6.6|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96|6.96
05/27/2024|7.83|7.38|7.13|7.13|6.71|6.71|6.68|6.68|6.61|6.61|6.61|6.61|6.38|6.38|6.38|6.38|6.38|6.52|6.52|6.52|6.52|6.52|6.52|6.52|6.52|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95|6.95
06/03/2024|7.76|7.35|7.12|7.12|6.65|6.65|6.55|6.55|6.52|6.52|6.52|6.52|6.55|6.55|6.55|6.55|6.55|6.57|6.57|6.57|6.57|6.57|6.57|6.57|6.57|7.08|7.08|7.08|7.08|7.08|7.08|7.08|7.08|7.08|7.08|7.08|7.08|7.08|7.08|7.08|7.08|7.08|7.08|7.08|7.08|7.08|7.08|7.08|7.08|7.08
06/10/2024|7.79|7.32|7.05|7.05|6.64|6.64|6.6|6.6|6.47|6.47|6.47|6.47|6.4|6.4|6.4|6.4|6.4|6.58|6.58|6.58|6.58|6.58|6.58|6.58|6.58|6.94|6.94|6.94|6.94|6.94|6.94|6.94|6.94|6.94|6.94|6.94|6.94|6.94|6.94|6.94|6.94|6.94|6.94|6.94|6.94|6.94|6.94|6.94|6.94|6.94
06/17/2024|7.74|7.29|7|7|6.66|6.66|6.61|6.61|6.44|6.44|6.44|6.44|6.4|6.4|6.4|6.4|6.4|6.53|6.53|6.53|6.53|6.53|6.53|6.53|6.53|6.93|6.93|6.93|6.93|6.93|6.93|6.93|6.93|6.93|6.93|6.93|6.93|6.93|6.93|6.93|6.93|6.93|6.93|6.93|6.93|6.93|6.93|6.93|6.93|6.93
06/24/2024|8.1|7.47|7.13|7.13|6.66|6.66|6.44|6.44|6.4|6.4|6.4|6.4|6.36|6.36|6.36|6.36|6.36|6.47|6.47|6.47|6.47|6.47|6.47|6.47|6.47|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86
07/01/2024|7.44|6.93|6.69|6.69|6.66|6.66|6.4|6.4|6.44|6.44|6.44|6.44|6.34|6.34|6.34|6.34|6.34|6.45|6.45|6.45|6.45|6.45|6.45|6.45|6.45|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86|6.86
07/08/2024|7.21|6.78|6.54|6.54|6.67|6.67|6.58|6.58|6.37|6.37|6.37|6.37|6.51|6.51|6.51|6.51|6.51|6.53|6.53|6.53|6.53|6.53|6.53|6.53|6.53|6.99|6.99|6.99|6.99|6.99|6.99|6.99|6.99|6.99|6.99|6.99|6.99|6.99|6.99|6.99|6.99|6.99|6.99|6.99|6.99|6.99|6.99|6.99|6.99|6.99
07/15/2024|7.56|6.96|6.65|6.65|6.66|6.66|6.53|6.53|6.43|6.43|6.43|6.43|6.29|6.29|6.29|6.29|6.29|6.51|6.51|6.51|6.51|6.51|6.51|6.51|6.51|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9|6.9
07/22/2024|7.29|6.74|6.47|6.47|6.67|6.67|6.39|6.39|6.41|6.41|6.41|6.41|6.16|6.16|6.16|6.16|6.16|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76|6.76
07/29/2024|7.74|6.97|6.68|6.68|6.6|6.6|6.39|6.39|6.41|6.41|6.41|6.41|6.23|6.23|6.23|6.23|6.23|6.38|6.38|6.38|6.38|6.38|6.38|6.38|6.38|6.8|6.8|6.8|6.8|6.8|6.8|6.8|6.8|6.8|6.8|6.8|6.8|6.8|6.8|6.8|6.8|6.8|6.8|6.8|6.8|6.8|6.8|6.8|6.8|6.8
08/05/2024|8.13|7.27|6.94|6.94|6.54|6.54|6.39|6.39|6.34|6.34|6.34|6.34|6.07|6.07|6.07|6.07|6.07|6.36|6.36|6.36|6.36|6.36|6.36|6.36|6.36|6.69|6.69|6.69|6.69|6.69|6.69|6.69|6.69|6.69|6.69|6.69|6.69|6.69|6.69|6.69|6.69|6.69|6.69|6.69|6.69|6.69|6.69|6.69|6.69|6.69
08/12/2024|8.11|7.26|6.93|6.93|6.39|6.39|6.29|6.29|6.25|6.25|6.25|6.25|5.76|5.76|5.76|5.76|5.76|6.11|6.11|6.11|6.11|6.11|6.11|6.11|6.11|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43
08/19/2024|8.12|7.19|6.85|6.85|6.29|6.29|6.17|6.17|6.2|6.2|6.2|6.2|5.84|5.84|5.84|5.84|5.84|6.04|6.04|6.04|6.04|6.04|6.04|6.04|6.04|6.45|6.45|6.45|6.45|6.45|6.45|6.45|6.45|6.45|6.45|6.45|6.45|6.45|6.45|6.45|6.45|6.45|6.45|6.45|6.45|6.45|6.45|6.45|6.45|6.45
08/26/2024|8.71|7.58|7.15|7.15|6.28|6.28|6.37|6.37|6.05|6.05|6.05|6.05|5.81|5.81|5.81|5.81|5.81|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43|6.43
09/02/2024|8.76|7.51|7.11|7.11|6.24|6.24|6|6|5.94|5.94|5.94|5.94|5.81|5.81|5.81|5.81|5.81|6.03|6.03|6.03|6.03|6.03|6.03|6.03|6.03|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35
